Before Midpoint	Midpoint	After Midpoint	Exemplars		
nominate	"are_disillusioned_by, are_disappointed_by"	disqualify	proposer:applicant		
live_with	"are_disgusted_by, are_pushed_too_far_by"	divorce	wife:spouse		
marry	are_betrayed_by	divorce	bride:husband		
marry	"are_deceived_by, are_bored_by"	divorce	gentleman:lady		
provide_for	"are_exploited_by, are_pushed_too_far_by, are_underappreciated_by,"	divorce	dad:mom		
enchant	"are_worshipped_by, are_obeyed_by, are_trusted_by"	dominate	king:pawn		
intimidate	are_feared_by	dominate	king:pawn		
attract	are_bored_by	dump	rapper:bitch		
consort_with	"are_exploited_by, are_cheated_by"	dump	aristocrat:courtesan		
drive_for	are_disrespected_by	dump	chauffeur:general		
fall_in_love_with	"are_deceived_by, are_disrespected_by, are_bored_with"	dump	suitor:lover		
finance	"are_cheated_by, are_deceived_by, are_disrespected_by"	dump	backer:capitalist		
invest_in	"are_insulted_by, are_deceived_by, are_disrespected_by"	dump	investor:entrepreneur		
pick	are_disrespected_by	dump	nominator:candidate		
seduce	are_bored_by	dump	geisha:client		
supply_to	"are_disrespected_by, are_cheated_by"	dump	manufacturer:exporter		
support	are_betrayed_by	dump	adulterer:mistress		
train	"are_upstaged_by, are_disrespected_by, are_underappreciated_by"	dump	artisan:apprentice		
transport	are_disrespected_by	dump	driver:passenger		
are_exploited_by	are_pushed_too_far_by	eject	host:cuckoo		
cater_to	"are_exploited_by, are_disrespected_by, are_pushed_too_far_by"	eject	host:house_guest		
devour	are_sickened_by	eject	fiend:victim		
educate	"are_driven_mad_by, are_disrespected_by"	eject	parent:child		
host	are_insulted_by	eject	curator:critic		
let_in	"are_exploited_by, are_cheated_by"	eject	host:cuckoo		
let_in	"are_offended_by, are_insulted_by, are_disrespected_by"	eject	host:guest		
navigate_for	"are_disrespected_by, are_pushed_too_far_by"	eject	spotter:driver		
receive	"are_disrespected_by, are_lectured_by, are_chastised_by, are_insulted_by"	eject	ambassador:courier		
welcome	are_insulted_by	eject	host:guest		
abandon	are_pursued_by	elude	seducer:woman		
escape_from	are_pursued_by	elude	detainee:abuser		
flatter	"are_trusted_by, are_welcomed_by"	enchant	enchanter:thrall		
lecture_to	are_impressed_by	encourage	instructor:student		
compete_against	are_impressed_by	enlist	commissioner:deputy		
fight_against	are_impressed_by	enlist	commissioner:deputy		
enchant	"are_worshipped_by, are_obeyed_by, are_trusted_by"	enslave	enchanter:thrall		
rule	are_worshipped_by	enslave	aristocrat:peasant		
rule	are_resisted_by	enslave	master:slave		
seduce	are_worshipped_by	enslave	geisha:client		
seek	are_ignored_by	"kiss_up_to, lick_up_to"	advocate:proselyte		
spy_on	"are_impressed_by, are_intrigued_by"	fall_in_love_with	headhunter:recruit		
hide_from	are_found_by	escape_from	fugitive:pursuer		
interview	are_disillusioned_by	spread_lies_about	nominator:candidate		
accommodate	"are_frustrated_by, are_deceived_by, are_disrespected_by, are_cheated_by"	evict	landlord:boarder		
lease_to	are_disrespected_by	evict	landowner:lessee		
rent_to	"are_exploited_by, are_cheated_by, are_underpaid_by, are_pushed_too_far_by"	evict	landowner:farmer		
baptise	are_disappointed_by	excommunicate	priest:proselyte		
condemn	are_mocked_by	excommunicate	pontiff:heretic		
govern_via	are_misrepresented_by	execute	sultan:vizier		
rescue	are_trusted_by	exploit	knight:damsel		
sign_up	are_trusted_by	exploit	publisher:author		
model_for	"are_pushed_too_far_by, are_overworked_by"	fail_to_deliver_for	fashion_model:fashion_designer		
negotiate_for	"are_pushed_too_far_by, are_overworked_by"	fail_to_deliver_for	diplomat:president		
protect	"are_underappreciated_by, are_pushed_too_far_by, are_underpaid_by"	fail_to_deliver_for	flak:celebrity		
report_to	"are_underpaid_by, are_underappreciated_by"	fail_to_deliver_for	traitor:paymaster		
represent	"are_underpaid_by, are_underappreciated_by"	fail_to_deliver_for	spokesman:celebrity		
serve	are_pushed_too_far_by	fail_to_deliver_for	bailiff:sheriff		
supply	"are_cheated_by, are_deceived_by, are_disrespected_by"	fail_to_deliver_for	wholesaler:dealer		
train_with	are_pushed_too_far_by	fail_to_deliver_for	jockey:trainer		
wait_on	are_pushed_too_far_by	fail_to_deliver_for	servant:aristocrat		
work_for	are_trusted_by	fail_to_deliver_for	assistant:supervisor		
work_for	are_pushed_too_far_by	fail_to_deliver_for	hoodlum:gang_lord		
abuse	"are_moved_by, sympathize_with"	fall_in_love_with	captor:captive		
argue_with	are_impressed_by	fall_in_love_with	opposer:believer		
avoid	are_pursued_by	fall_in_love_with	nerd:girl		
betray	are_forgiven_by	fall_in_love_with	charmer:dupe		
capture	are_seduced_by	fall_in_love_with	pirate:captive		
compete_with	are_impressed_by	fall_in_love_with	candidate:competitor		
date	"are_impressed_by, are_charmed_by"	fall_in_love_with	girlfriend:boyfriend		
detain	"are_moved_by, are_seduced_by"	fall_in_love_with	guard:intruder		
enslave	"are_moved_by, are_seduced_by"	fall_in_love_with	manipulator:thrall		
fail_to_deliver_for	are_forgiven_by	fall_in_love_with	underling:boss		
guard	"are_seduced_by, are_inspired_by"	fall_in_love_with	gaoler:convict		
inspire	"are_painted_by, are_photographed_by"	fall_in_love_with	model:painter		
kidnap	are_seduced_by	fall_in_love_with	kidnapper:hostage		
listen_to	are_moved_by	fall_in_love_with	barman:customer		
listen_to	are_entertained_by	fall_in_love_with	listener:storyteller		
massage	are_seduced_by	fall_in_love_with	masseur:client		
paint	are_inspired_by	fall_in_love_with	artist:model		
reject	are_seduced_by	fall_in_love_with	iconoclast:sacred_cow		
rescue	are_moved_by	fall_in_love_with	knight:damsel		
respect	"are_inspired_by, are_impressed_by"	fall_in_love_with	competitor:opponent		
save	are_worshipped_by	fall_in_love_with	messiah:apostle		
seek_advice_from	are_inspired_by	fall_in_love_with	intern:mentor		
show_loyalty_to	are_rewarded_by	fall_in_love_with	princess:prince		
sleep_with	are_deflowered_by	fall_in_love_with	lady:suitor		
sleep_with	are_impressed_by	fall_in_love_with	mistress:adulterer		
travel_with	are_entertained_by	fall_in_love_with	companion:traveler		
work_with	are_saved_by	fall_in_love_with	mariner:shipmate		
rank	"are_bought_off_by, are_seduced_by"	favor	nominator:candidate		
bow_down_to	"are_oppressed_by, are_persecuted_by, are_humiliated_by"	fear	vassal:emperor		
decapitate	are_haunted_by	fear	headsman:prisoner		
imprison	are_despised_by	fear	despot:rebel		
persecute	are_despised_by	fear	dictator:victim		
underestimate	are_bitten_by	fear	aggressor:opponent		
baptize	are_moved_by	feel_sorry_for	priest:baby		
break_up_with	are_stalked_by	feel_sorry_for	girl:boyfriend		
cast_out	are_concerned_about	feel_sorry_for	god:demon		
haunt	are_feared_by	feel_sorry_for	casualty:widow		
fight_for	are_disrespected_by	fight_against	abolitionist:slave		
fight_with	"are_insulted_by, are_disrespected_by"	fight_against	sidekick:hero		
fight_against	"are_blackmailed_by, are_bought_off_by, are_moved_by, are_impressed_by"	fight_with	villain:hero		
search_for	are_underestimated_by	find	bachelor:wife		
act_via	"are_deceived_by, are_disrespected_by, are_unimpressed_with"	fire	leader:operative		
communicate_through	are_misrepresented_by	fire	priest:oracle		
communicate_via	are_misrepresented_by	fire	ghost:medium		
delegate_to	"are_disappointed_by, are_upstaged_by"	fire	boss:subordinate		
hire	"are_disillusioned_by, are_exploited_by, are_deceived_by"	fire	car_dealer:car_salesman		
debate_with	are_misrepresented_by	humiliate	appellant:representative		
speak_through	are_misrepresented_by	fire	leader:spokesperson		
fall_in_love_with	are_ignored_by	flatter	bootlicker:boss		
chat_with	"are_impressed_by, are_attracted_by, are_flattered_by"	flirt_with	interviewee:interviewer		
talk_to	are_attracted_by	flirt_with	flatterer:despot		
travel_with	are_attracted_by	flirt_with	flatterer:despot		
woo	are_kissed_by	flirt_with	suitor:beauty		
listen_to	are_entertained_by	follow	groupie:celebrity		
condemn	"sympathize_with, are_moved_by"	forgive	evangelical:sinner		
defeat	are_bought_off_by	forgive	victor:rival		
abuse	"are_moved_by, sympathize_with, pity"	free	victimizer:victim		
"learn_from, study_under"	"are_deceived_by, are_manipulated_by"	grow_suspicious_of	beginner:mentor		
campaign_against	are_humiliated_by	hate	opponent:rival		
curry_favor_with	are_humiliated_by	hate	flatterer:despot		
dislike	"are_insulted_by, are_mocked_by, are_taunted_by, are_humiliated_by"	hate	butcher:vegetarian		
encourage	"are_supplanted_by, are_upstaged_by"	hate	vendor:salesperson		
entertain	are_ignored_by	hate	gondolier:tourist		
love	"are_betrayed_by, are_cheated_by"	hate	husband:wife		
obtain_sympathy_from	are_pitied_by	hate	captive:torturer		
seek_forgiveness_from	are_pitied_by	hate	candidate:detractor		
leave_behind	are_remembered_by	haunt	casualty:widow		
listen_to	are_bored_by	heckle	barman:customer		
abandon	are_pursued_by	hide_from	seducer:woman		
accuse	are_threatened_by	hide_from	accuser:suspect		
disappoint	"are_threatened_by, are_intimidated_by"	hide_from	underling:boss		
encourage	are_stalked_by	hide_from	devil:sinner		
escape_from	are_pursued_by	hide_from	hostage:kidnapper		
refuse_to_pay	are_threatened_by	hide_from	hirer:hireling		
release	are_stalked_by	hide_from	savior:captive		
run_away_from	are_pursued_by	hide_from	hostage:kidnapper		
seek_advice_from	are_humiliated_by	"spread_lies_about, kill, attack"	drug_dealer:chemist		
communicate_with	"are_disrespected_by, are_insulted_by, are_driven_mad_by"	humiliate	bomber:dispatcher		
debate	"are_misrepresented_by, are_bored_by"	humiliate	believer:opposer		
dress	are_upstaged_by	humiliate	designer:model		
entertain	are_heckled_by	humiliate	jester:king		
imitate	are_heckled_by	humiliate	aspirant:role_model		
incarcerate	are_bitten_by	humiliate	jailer:captive		
manage	are_disrespected_by	humiliate	choreographer:dancer		
pamper	are_betrayed_by	humiliate	housewife:husband		
photograph	"are_attacked_by, are_bitten_by"	humiliate	paparazzo:celebrity		
pitch_at	are_insulted_by	humiliate	bowler:batter		
settle_with	are_insulted_by	humiliate	mocker:victim		
sire	are_unimpressed_by	humiliate	king:prince		
summon	"are_disobeyed_by, are_ignored_by"	humiliate	medium:ghost		
trick	are_trusted_by	humiliate	swindler:dupe		
fall_in_love_with	are_abandoned_by	hunt	abuser:prey		
apprehend	"are_moved_by, are_inspired_by"	identify_with	constable:criminal		
"learn_from, study_under"	"are_molded_by, are_impressed_by"	identify_with	junior:senior		
persecute	are_moved_by	identify_with	tormentor:martyr		
pick_on	are_moved_by	identify_with	bully:wimp		
profit_from	are_moved_by	identify_with	pimp:hooker		
surrender_to	are_respected_by	identify_with	loser:winner		
sympathize_with	are_inspired_by	identify_with	sympathizer:activist		
torment	are_moved_by	identify_with	tormentor:martyr		
cede_power_to	are_inspired_by	imitate	loser:winner		
compete_with	are_impressed_by	imitate	competitor:opponent		
inspire	are_upstaged_by	imitate	artist:imitator		
"learn_from, study_under"	"are_molded_by, are_impressed_by"	imitate	junior:senior		
overthrow	"are_inspired_by, are_corrupted_by"	imitate	slave:puppeteer		
remember	are_inspired_by	imitate	freedom_fighter:martyr		
are_pursued_by	elude	impress	fugitive:pursuer		
supplant	are_inspired_by	impress	substitute:principal		
unleash	are_bitten_by	imprison	wizard:monster		
charge	are_threatened_by	incarcerate	cop:suspect		
abuse	are_feared_by	indoctrinate	hijacker:captive		
appoint	"are_feared_by, are_worshipped_by"	indoctrinate	autocrat:propagandist		
discipline	are_feared_by	indoctrinate	headmaster:student		
dominate	"are_worshipped_by, are_trusted_by"	indoctrinate	king:pawn		
forgive	are_respected_by	indoctrinate	pontiff:sinner		
heal	are_worshipped_by	indoctrinate	miracle_worker:cripple		
imprison	are_despised_by	indoctrinate	despot:rebel		
inspire	are_worshipped_by	indoctrinate	missionary:convert		
manipulate	are_worshipped_by	indoctrinate	ayatollah:mullah		
minister_to	are_trusted_by	indoctrinate	priest:follower		
persuade	are_trusted_by	indoctrinate	marketer:buyer		
punish	are_feared_by	indoctrinate	totalitarian:dissenter		
raise	"are_worshipped_by, are_trusted_by"	indoctrinate	mama:baby		
rule	"are_worshipped_by, are_trusted_by"	indoctrinate	aristocrat:peasant		
starve	are_begged_by	indoctrinate	momma:newborn		
subjugate	are_feared_by	indoctrinate	conqueror:native		
suppress	are_feared_by	indoctrinate	emperor:rival		
teach	"are_feared_by, are_trusted_by"	indoctrinate	builder:apprentice		
tend	are_worshipped_by	indoctrinate	sitter:baby		
torture	are_feared_by	indoctrinate	abuser:detainee		
train	are_respected_by	indoctrinate	artisan:apprentice		
are_protected_by	are_impressed_by	inspire	civilian:soldier		
die_for	are_worshipped_by	inspire	believer:saint		
entertain	are_worshipped_by	inspire	celebrity:worshiper		
lead	are_respected_by	inspire	chief:inferior		
instruct	are_disappointed_by	insult	sage:follower		
play_for	are_heckled_by	insult	musician:listener		
praise	are_rebuffed_by	insult	critic:artist		
question	are_deceived_by	interrogate	interviewer:applicant		
round_up	are_resisted_by	interrogate	cop:suspect		
seek	"are_disgusted_by, are_shocked_by"	interrogate	cop:suspect		
lick_up_to	are_respected_by	"exploit, manipulate"	referee:applicant		
believe_in	are_respected_by	invest_in	investor:entrepreneur		
feel_sorry_for	are_feared_by	kidnap	priest:baby		
abet	are_betrayed_by	kill	abetter:conspirator		
take_aim_at	are_trusted_by	kill	assassin:target		
are_stalked_by	lay_a_trap_for	kill	prey:hunter		
argue_with	are_driven_mad_by	kill	patron:architect		
catch	"are_insulted_by, are_attacked_by"	kill	killer:casualty		
command	"are_disobeyed_by, are_betrayed_by"	kill	godfather:criminal		
condemn	are_mocked_by	kill	pontiff:heretic		
conspire_with	are_blackmailed_by	kill	abetter:mastermind		
control	are_betrayed_by	kill	oligarch:politician		
curse	"are_ignored_by, are_mocked_by"	kill	witch:victim		
deal_with	are_cheated_by	kill	pimp:john		
detain	"are_insulted_by, are_attacked_by"	kill	guard:intruder		
disrespect	are_attacked_by	kill	infidel:prophet		
divorce	are_stalked_by	kill	fiancée:fiancé		
eject	are_threatened_by	kill	bouncer:troublemaker		
enslave	are_disrespected_by	kill	master:slave		
experiment_on	"are_bitten_by, are_bored_by"	kill	researcher:monkey		
fall_in_love_with	are_spurned_by	kill	suitor:lover		
guard	are_disrespected_by	kill	gaoler:convict		
heckle	are_humiliated_by	kill	heckler:comedian		
hide_from	are_found_by	kill	fugitive:pursuer		
intimidate_with	are_betrayed_by	kill	warlord:goon		
kill_for	"are_betrayed_by, are_underpaid_by, are_disrespected_by"	kill	mercenary:colonizer		
lay_a_trap_for	are_underestimated_by	kill	chaser:prey		
mate_with	"are_betrayed_by, are_abandoned_by"	kill	damsel:swain		
pick_up	are_robbed_by	kill	john:prostitute		
show_loyalty_to	are_betrayed_by	kill	king:knight		
stalk	are_bored_by	kill	admirer:celebrity		
stand_up_to	are_attacked_by	kill	hostage:kidnapper		
starve	are_bitten_by	kill	momma:newborn		
take_up_with	are_betrayed_by	kill	king:mistress		
target	are_ignored_by	kill	assassin:politician		
tend	are_bitten_by	kill	terrorist:victim		
threaten	are_ignored_by	kill	politician:critic		
torture	are_informed_by	kill	abuser:detainee		
turn_against	"are_beaten_by, are_attacked_by"	kill	abetter:criminal		
turn_against	are_threatened_by	kill	comrade:collaborator		
believe_in	are_brainwashed_by	kill_for	listener:preacher		
take_up_with	are_manipulated_by	kill_for	cheater:mistress		
worship	"are_flattered_by, are_seduced_by"	kill_for	cultist:guru		
"campaign_for, vote_for"	"are_spurned_by, are_disappointed_by"	"spread_lies_about, campaign_against"	god:monster		
date	"are_disappointed_by, are_unimpressed_by, are_upstaged_by, are_bored_by"	dump	portrayer:character		
date	"are_seduced_by, are_charmed_by, are_intrigued_by"	sleep_with	mystery_writer:detective		
"lick_up_to, kiss_up_to"	are_ignored_by	resent	headhunter:recruit		
seek_advice_from	are_impressed_by	kiss_up_to	drug_dealer:chemist		
work_for	"are_ignored_by, are_distrusted_by"	kiss_up_to	bootlicker:boss		
bow_down_to	are_ruled_by	labor_for	commoner:ruler		
bow_down_to	are_enslaved_by	labor_for	laborer:farmer		
cede_power_to	are_ruled_by	labor_for	commoner:ruler		
chase	are_taunted_by	lay_a_trap_for	bully:target		
chase_after	are_taunted_by	lay_a_trap_for	chaser:prey		
dump	are_stalked_by	lay_a_trap_for	scoundrel:mistress		
elude	are_tracked_by	lay_a_trap_for	escapee:captor		
escape_from	are_pursued_by	lay_a_trap_for	hostage:kidnapper		
flee_from	are_tracked_by	lay_a_trap_for	absconder:pursuer		
pine_for	"are_eluded_by, are_ignored_by"	lay_a_trap_for	spinster:husband		
look_for	are_trusted_by	lay_a_trap_for	con_man:sucker		
prey_on	are_underestimated_by	lay_a_trap_for	bandit:victim		
pursue	are_taunted_by	lay_a_trap_for	chaser:prey		
run_away_from	are_pursued_by	lay_a_trap_for	hostage:kidnapper		
search_for	"are_eluded_by, are_taunted_by"	lay_a_trap_for	pirate:captive		
spy_on	are_trusted_by	lay_a_trap_for	spy:enemy		
stalk	"are_eluded_by, are_taunted_by"	lay_a_trap_for	admirer:celebrity		
turn_against	are_underestimated_by	lay_a_trap_for	underling:boss		
advise	"are_disrespected_by, are_underpaid_by, are_spurned_by"	lead_astray	diviner:king		
appoint	"are_feared_by, are_worshipped_by"	lead_astray	autocrat:propagandist		
care_for	are_worshipped_by	lead_astray	nanny:child		
counsel	"are_respected_by, are_trusted_by"	lead_astray	psychiatrist:patient		
cure	are_worshipped_by	lead_astray	miracle_worker:cripple		
deceive	are_trusted_by	lead_astray	deceiver:believer		
elude	are_tracked_by	lead_astray	escapee:captor		
enchant	"are_worshipped_by, are_obeyed_by, are_trusted_by"	lead_astray	enchanter:thrall		
indoctrinate	are_trusted_by	lead_astray	sitter:baby		
lie_to	are_trusted_by	lead_astray	liar:victim		
mentor	"are_worshipped_by, are_trusted_by"	lead_astray	tutor:pupil		
preach_to	are_obeyed_by	lead_astray	pastor:parishioner		
rouse	are_obeyed_by	lead_astray	firebrand:thug		
sign_up	"are_obeyed_by, are_trusted_by"	lead_astray	headhunter:recruit		
silence	are_obeyed_by	lead_astray	politician:critic		
tend	are_worshipped_by	lead_astray	sitter:baby		
translate_for	are_trusted_by	lead_astray	translator:politician		
work_with	are_trusted_by	lead_astray	mariner:shipmate		
write_for	"are_underpaid_by, are_disgusted_by, are_underappreciated_by, are_disrespected_by"	lead_astray	speechwriter:politician		
interrogate	are_feared_by	learn_from	cop:suspect		
mimic	are_inspired_by	learn_from	impersonator:celebrity		
give_birth_to	are_bitten_by	let_go_of	momma:baby		
give_birth_to	are_abandoned_by	let_go_of	queen:prince		
welcome	"are_deceived_by, are_attracted_by"	let_in	host:cuckoo		
lose_favor_with	are_dumped_by	lick_up_to	leader:elector		
study	"are_disrespected_by, are_distrusted_by"	lick_up_to	anthropologist:native		
work_for	"are_ignored_by, are_distrusted_by"	lick_up_to	bootlicker:boss		
diagnose	are_concerned_about	lie_to	doctor:patient		
report_to	"are_disrespected_by, are_underappreciated_by"	lie_to	nun:abbess		
take_messages_for	"are_disrespected_by, are_underappreciated_by, are_underpaid_by"	lie_to	receptionist:dentist		
testify_before	are_interrogated_by	lie_to	cop:lawyer		
summon	are_flattered_by	listen_to	king:envoy		
alienate	"are_abandoned_by, are_dumped_by"	look_for	con_man:sucker		
tower_over	are_toppled_by	look_up_to	giant:rival		
underestimate	"are_supplanted_by, are_upstaged_by"	look_up_to	master:rival		
control	"are_deceived_by, are_tricked_by, are_seduced_by"	lose_control_over	oligarch:politician		
dispatch	are_forgotten_by	lose_control_over	general:messenger		
free	are_thanked_by	lose_control_over	liberator:prisoner		
indulge	are_exploited_by	lose_control_over	pamperer:customer		
lead_astray	are_blackmailed_by	lose_control_over	seducer:thrall		
manage	are_seduced_by	lose_control_over	boss:subordinate		
overwork	are_sued_by	lose_control_over	pimp:hooker		
send	"are_upstaged_by, are_misrepresented_by"	lose_control_over	emperor:emissary		
sleep_with	are_blackmailed_by	lose_control_over	whore:patron		
spoil	are_exploited_by	lose_control_over	parent:child		
advise	"are_disgusted_by, are_shocked_by"	lose_faith_in	crony:banker		
advocate_for	"are_deceived_by, are_exploited_by, are_disgusted_by, are_shocked_by"	lose_faith_in	lawyer:client		
appeal_to	are_rebuffed_by	lose_faith_in	advocate:stakeholder		
confer_with	"are_manipulated_by, are_deceived_by, are_cheated_by"	lose_faith_in	medium:ghost		
consult	"are_bored_by, are_lectured_by"	lose_faith_in	patient:doctor		
disagree_with	"are_misrepresented_by, are_deceived_by"	lose_faith_in	architect:builder		
disagree_with	"are_silenced_by, are_censured_by"	lose_faith_in	architect:builder		
pray_to	are_ignored_by	lose_faith_in	imam:prophet		
reward	"are_disrespected_by, are_underappreciated_by"	lose_faith_in	oligarch:minion		
serve	"are_disillusioned_by, are_disgusted_by"	lose_faith_in	minister:emperor		
show_loyalty_to	are_pushed_too_far_by	lose_faith_in	votary:deity		
support	"are_underappreciated_by, are_pushed_too_far_by"	lose_faith_in	socialist:comrade		
worship	"are_deceived_by, are_disrespected_by, are_unimpressed_with"	lose_faith_in	adorer:celebrity		
deceive	"are_criticized_by,  are_lectured_by"	lose_favor_with	deceiver:believer		
disobey	"are_chastised_by,  are_scolded_by, are_humiliated_by"	lose_favor_with	Catholic:pope		
manipulate	are_uncovered_by	lose_favor_with	minion:boss		
find	"are_bored_by, are_disgusted_by"	lose_interest_in	bachelor:wife		
follow	"are_bored_by, are_disrespected_by"	lose_interest_in	groupie:celebrity		
compete_against	are_bought_off_by	lose_to	champion:challenger		
fight_against	are_tricked_by	lose_to	native:settler		
underestimate	"are_tricked_by, are_manipulated_by"	lose_to	challenger:incumbent		
are_profiled_by	obtain_sympathy_from	manipulate	serial_killer:policeman		
charm	are_trusted_by	manipulate	snake_charmer:snake		
compliment	"are_trusted_by, are_favored_by"	manipulate	flatterer:despot		
convert	"are_worshipped_by, are_trusted_by"	manipulate	advocate:proselyte		
counsel	"are_respected_by, are_trusted_by"	manipulate	psychiatrist:patient		
cross_examine	are_trusted_by	manipulate	litigator:witness		
curry_favor_with	"are_trusted_by, are_favored_by"	manipulate	leader:elector		
deceive	are_trusted_by	manipulate	deceiver:believer		
enchant	"are_worshipped_by, are_obeyed_by, are_trusted_by"	manipulate	enchanter:thrall		
evaluate_with	are_feared_by	manipulate	editor:referee		
flatter	are_favored_by	manipulate	bootlicker:boss		
guide	are_trusted_by	manipulate	ayatollah:mullah		
kiss_up_to	are_favored_by	manipulate	bootlicker:boss		
lick_up_to	"are_favored_by, are_trusted_by, are_promoted_by"	manipulate	bootlicker:boss		
lie_to	are_trusted_by	manipulate	liar:victim		
mystify	are_worshipped_by	manipulate	shaman:initiate		
observe	are_trusted_by	manipulate	anthropologist:native		
pander_to	are_respected_by	manipulate	charmer:dupe		
praise	are_trusted_by	manipulate	critic:artist		
prey_on	"are_trusted_by, are_welcomed_by"	manipulate	assassin:target		
serve	"are_trusted_by, are_underestimated_by"	manipulate	dealer:customer		
subjugate	are_feared_by	manipulate	conqueror:native		
suck_up_to	are_favored_by	manipulate	bootlicker:boss		
summon	are_feared_by	manipulate	king:envoy		
trick	are_underestimated_by	manipulate	swindler:dupe		
date	are_deflowered_by	marry	boyfriend:girlfriend		
enslave	are_seduced_by	marry	master:slave		
fall_in_love_with	are_betrayed_by	dump	fan:celebrity		
feel_sorry_for	are_seduced_by	marry	dupe:scammer		
propose_to	are_favored_by	marry	gentleman:lady		
reject	are_blackmailed_by	marry	lady:suitor		
sleep_with	are_deflowered_by	marry	lady:suitor		
observe	"are_coached_by, are_impressed_by"	mimic	impersonator:celebrity		
act_for	"are_trusted_by, are_underpaid_by"	misrepresent	proxy:shareholder		
ask_questions_for	"are_exploited_by, are_pushed_too_far_by"	misrepresent	interviewer:pollster		
interpret_for	are_disrespected_by	misrepresent	interpreter:speaker		
represent	"are_underpaid_by, are_underappreciated_by"	misrepresent	parliamentarian:voter		
speak_for	"are_disrespected_by, are_underpaid_by, are_underappreciated_by"	misrepresent	spokesman:politician		
translate_for	are_trusted_by	misrepresent	translator:politician		
fight_against	are_impressed_by	negotiate_with	villain:hero		
struggle_against	are_rebuffed_by	negotiate_with	enemy:rival		
interview	"are_blackmailed_by, are_bought_off_by, are_manipulated_by, are_impressed_by, are_entertained_by, are_intrigued_by"	nominate	proposer:applicant		
consult	"are_advised_by, are_lectured_by, are_counselled_by"	obey	patient:doctor		
struggle_against	are_underestimated_by	overcome	fighter:foe		
rise_against	are_mocked_by	overthrow	slave:puppeteer		
serve	are_underestimated_by	overthrow	assistant:boss		
turn_against	"are_resisted_by, are_feared_by, are_attacked_by"	overthrow	minion:boss		
manipulate	profit_from	overwork	pimp:hooker		
"kiss_up_to, lick_up_to"	"are_ignored_by, are_feared_by"	pander_to	headhunter:recruit		
pamper	are_rewarded_by	pander_to	critic:artist		
preach_to	"are_disrespected_by, are_underappreciated_by"	pander_to	pontiff:sinner		
propagandize_for	are_rewarded_by	pander_to	propagandist:autocrat		
reach_out_to	"are_rebuffed_by, are_resisted_by"	pander_to	televangelist:sinner		
receive	are_flattered_by	pander_to	ambassador:courier		
reward	are_flattered_by	pander_to	godfather:lieutenant		
rule_over	are_resisted_by	pander_to	conqueror:native		
satirize	are_bought_off_by	pander_to	satirist:insider		
seek	are_ignored_by	pander_to	advocate:proselyte		
speak_to	are_rebuffed_by	pander_to	eyewitness:reporter		
undermine	"are_blackmailed_by, are_bought_off_by"	pander_to	critic:politician		
disfigure	are_sued_by	pay_off	stylist:actress		
steal_from	are_blackmailed_by	pay_off	thief:victim		
treat	are_sued_by	pay_off	dentist:patient		
alienate	"are_abandoned_by, are_dumped_by"	pine_for	celebrity:admirer		
cast_out	"are_forgotten_by, are_haunted_by"	pine_for	god:demon		
divorce	"are_forgotten_by, are_haunted_by"	pine_for	divorcee:spouse		
let_go_of	are_forgotten_by	pine_for	momma:baby		
release	are_forgotten_by	pine_for	savior:captive		
are_appointed_by	play_for	are_rewarded_by	bard:king		
campaign_against	"are_blackmailed_by, are_bought_off_by"	praise	opponent:rival		
criticize	"are_threatened_by, are_blackmailed_by"	praise	critic:artist		
dislike	"are_impressed_by, are_charmed_by"	praise	butcher:vegetarian		
evaluate	"are_bought_off_by, are_blackmailed_by"	praise	lecturer:student		
lose_faith_in	"are_bought_off_by, are_blackmailed_by"	praise	adorer:god		
review	"are_impressed_by, are_moved_by, are_entertained_by"	praise	peer:professional		
spread_lies_about	are_forgiven_by	praise	liar:victim		
hit	are_arrested_for_hurting	beg_forgiveness_from	marksman:target		
worship	are_inspired_by	pray_to	believer:saint		
appoint	"are_impressed_by, are_flattered_by"	profit_from	autocrat:propagandist		
blackmail	"are_feared_by, are_paid_by"	profit_from	blackmailer:victim		
defraud	are_trusted_by	profit_from	knave:dupe		
entertain	are_tipped_by	profit_from	gondolier:tourist		
lead_astray	are_obeyed_by	profit_from	seducer:thrall		
sacrifice	are_obeyed_by	profit_from	chess_player:pawn		
select	are_rewarded_by	profit_from	evaluator:candidate		
sell_through	are_trusted_by	profit_from	artist:dealer		
sell_via	are_trusted_by	profit_from	builder:realtor		
sign_up	are_obeyed_by	profit_from	headhunter:recruit		
snitch_to	are_rewarded_by	profit_from	informant:detective		
tip_off	are_rewarded_by	profit_from	insider:reporter		
let_go_of	are_thanked_by	profit_from	kidnapper:hostage		
appoint	are_worshipped_by	promote	autocrat:propagandist		
delegate_to	are_impressed_by	promote	boss:subordinate		
deploy	are_impressed_by	promote	general:soldier		
hire	are_impressed_by	promote	advertiser:writer		
hire	are_seduced_by	promote	travel_agent:tour_guide		
manage	are_impressed_by	promote	ombudsman:watchdog		
cross_examine	are_deceived_by	prosecute	lawyer:witness		
coach	are_disrespected_by	punish	mentor:apprentice		
coerce	are_deceived_by	punish	criminal:witness		
command	"are_disrespected_by, are_disobeyed_by"	punish	abbot:friar		
lose_control_over	are_disrespected_by	punish	parent:child		
take_as_prisoner	"are_disrespected_by, are_disobeyed_by"	punish	bank_robber:hostage		
